SKU,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Capacity,Filter_Star,Filter_Type,Filter_Ideal for Family size,Filter_Defrosting type,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM_REFRIGERATOR_4-DOOR-CDC,SAM-REF-4-Door,Samsung AI Home 4-French Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RM90F66CNC,399990,,,Clean Deep Charcol,658L,,French Door,,Mono Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rm90f66cnctl/gallery/in-4-door-french-door-refrigerators-with-ai-home-and-ai-hybrid-cooling-rm90f66cnctl-548045057?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rm90f66cnctl/gallery/in-4-door-french-door-refrigerators-with-ai-home-and-ai-hybrid-cooling-rm90f66cnctl-thumb-548045047?$64_64_PNG$,,,,,,https://images.samsung.com/is/content/samsung/p6pim/in/feature/166364990/in-feature--nbsp-548045123.mp4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BM,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT45DG6A4DB1,71990,,,Black Matt,419L,,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4db1hl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4db1hl-548207741?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4db1hl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4db1hl-542993066?$Q90_684_547_JPG$,,,,,https://images.samsung.com/is/content/samsung/p6pim/in/feature/165516374/in-feature---542989467.mp4,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-LB,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT45DG6A4DBX,72990,,,Luxe Black,419L,,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4dbxhl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4dbxhl-548207856?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4dbxhl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4dbxhl-thumb-542993095?$64_64_PNG$,,,,,https://images.samsung.com/is/content/samsung/p6pim/in/feature/165516374/in-feature---542989467.mp4,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-RS,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT45DG6A4DSL,72990,,,Real Stainless,419L,,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4dslhl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4dslhl-548207918?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4dslhl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4dslhl-thumb-542993114?$64_64_PNG$,,,,,https://images.samsung.com/is/content/samsung/p6pim/in/feature/165516374/in-feature---542989467.mp5,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BG,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT41DB6A4B22,68990,,,Black Glass,396L,,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt41db6a4b22hl/gallery/in-top-mount-freezer-convertible-5-in-1-rt41db6a4b22hl-548197332?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt41db6a4b22hl/gallery/in-top-mount-freezer-convertible-5-in-1-rt41db6a4b22hl-thumb-543334310?$64_64_PNG$,,,,,https://images.samsung.com/is/content/samsung/p6pim/in/feature/165516263/in-feature---542989080.mp4,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-EI,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT45DG6A2BS8,68990,,,Elegant Inox,419L,,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a2bs8hl/gallery/in-top-mount-freezer-twin-cooling-plus-519111-rt45dg6a2bs8hl-548207628?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a2bs8hl/gallery/in-top-mount-freezer-twin-cooling-plus-519111-rt45dg6a2bs8hl-thumb-542990426?$64_64_PNG$,,,,,https://images.samsung.com/is/content/samsung/p6pim/in/feature/165516374/in-feature---542989467.mp4,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-RS,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT45DG6A2BSL,69990,,,Real Stainless,419L,,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a2bslhl/gallery/in-top-mount-freezer-twin-cooling-plus-519111-rt45dg6a2bslhl-548207648?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a2bslhl/gallery/in-top-mount-freezer-twin-cooling-plus-519111-rt45dg6a2bslhl-thumb-542990445?$64_64_PNG$,,,,,https://images.samsung.com/is/content/samsung/p6pim/in/feature/165516374/in-feature---542989467.mp5,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BM,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT38DG5A4DB1,59990,,,Black Matt,350L,3,Double Door,,Twin Cooling,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4db1hl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4db1hl-548207741?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt45dg6a4db1hl/gallery/in-top-mount-freezer-twin-cooling-plus-519124-rt45dg6a4db1hl-542993066?$Q90_684_547_JPG$,,,,,,,,,,,,,
