SKU,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Control type,Filter_Star,Filter_Type,Filter_Capacity,Filter_Power Consumption,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM_OVEN-B,SAM-28L-Oven,Samsung Mositure Senser Smart Oven,Samsung,Oven,Home & Kitchen appliances,MC28A5147VK,25490,,,Black,Touch & Dial,,Convection,28L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a5147vk-tl/gallery/in-mw5100hmc28a5135ck-479730-mc28a5147vk-tl-538377437?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a5147vk-tl/gallery/in-mw5100hmc28a5135ck-479730-mc28a5147vk-tl-538377420?$Q90_684_547_JPG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWO_OVEN-B,SAM-32L-Microwave Oven,Samsung Masala & Sundray Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC32A7056CK,31990,,,Black,Touch & Dial,,Convection,32L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc32a7056ck-tl/gallery/in-mc32a7056-convection-microwave--32l-mc32a7056ck-tl-532583897?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc32a7056ck-tl/gallery/in-mc32a7056-convection-microwave--32l-mc32a7056ck-tl-532583877?$Q90_684_547_JPG$,,,,,,,,,,,,,
SAM_MWO_OVEN-BwBSP,SAM-32L-Microwave Oven,Samsung Masala & Sundray Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC32A7056CB,,,,Black  with Saffron Patel,Touch & Dial,,Convection,32L,1400W,,,,,,,,,,,,,,,,,,
SAM_MWO_OVEN-BwNS,SAM-32L-Microwave Oven,Samsung Masala & Sundray Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC32A7056QT,,,,Black with Neo Silver,Touch & Dial,,Convection,32L,1400W,,,,,,,,,,,,,,,,,,
SAM_MWO_OVEN-B,SAM-28L-Microwave Oven,Samsung Masala & Sundray Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC28A6036QK,24990,,,Black,Touch & Dial,,Convection,28L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a6036qk-tl/gallery/in-mw6000m-mc28a6036qk-tl-531750670?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a6036qk-tl/gallery/in-mw6000m-mc28a6036qk-tl-thumb-531750666?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWO_OVEN-T,SAM-32L-Microwave Oven,Samsung Slimfry Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC32A7035CT,20000,,,Transparent,Tact+Dial,,Convection,32L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc32a7035ct-tl/gallery/in-mc32a7035ct-mw7000j-convection-nwo-with-slim-fry-mc32a7035ct-tl-531529011?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc32a7035ct-tl/gallery/in-mc32a7035ct-mw7000j-convection-nwo-with-slim-fry-mc32a7035ct-tl-531528998?$Q90_684_547_JPG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_OVEN-B,SAM-28L-Oven,Samsung Mositure Senser Smart Oven,Samsung,Oven,Home & Kitchen appliances,MC28A5145VR,22490,,,Black(Rhythmic Twirl),Tact & Dial,,Convection,28L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a5145vr-tl/gallery/in-mw5100hmc28a5135ck-479715-mc28a5145vr-tl-538375427?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a5145vr-tl/gallery/in-mw5100hmc28a5135ck-479715-mc28a5145vr-tl-538375410?$Q90_684_547_JPG$,,,,,,,,,,,,,
SAM_MWV_OVEN-B,SAM-28L-Microwave Oven,Samsung Curd Any Time Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC28A5013AK,15590,,,Black,Membrane,,Convection,28L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a5013ak-tl/gallery/in-mc28a5013-convection-microwave--28-l-mc28a5013ak-tl-532582908?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a5013ak-tl/gallery/in-mc28a5013-convection-microwave--28-l-mc28a5013ak-tl-thumb-532582901?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-CC,SAM-32L-Microwave Oven,Samsung Wi-Fi enabled Bespoke Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC32B7382QC,39990,,,Clean Charcoal,Touch+Dial,,Convection,32L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc32b7382qc-tl/gallery/in-mw7300b-mc32b7388le-mc32b7382qc-tl-533791294?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc32b7382qc-tl/gallery/in-mw7300b-mc32b7388le-mc32b7382qc-tl-533791281?$Q90_684_547_JPG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-B,SAM-23L-Microwave Oven, Samsung Browning Plus Grill Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MG23A3515AK,11600,,,Black,Tact+Dial,,Grill,23L,1250W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mg23a3515ak-tl/gallery/in-mg23a3515-grill-mwo-with-grill-fry-mg23a3515ak-tl-532265174?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mg23a3515ak-tl/gallery/in-mg23a3515-grill-mwo-with-grill-fry-mg23a3515ak-tl-thumb-532265177?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-B,SAM-28L-Microwave Oven, Samsung Curd Any Time Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC28A5013AK,15590,,,Black,Membrane,,Deodorization Convection,28L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a5013ak-tl/gallery/in-mc28a5013-convection-microwave--28-l-mc28a5013ak-tl-532582908?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a5013ak-tl/gallery/in-mc28a5013-convection-microwave--28-l-mc28a5013ak-tl-thumb-532582901?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-B,SAM-21L-Microwave Oven, Samsung Ceramic Enamel Cavity Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,CE73JD-B1,12990,,,Black,Membrane,,Convection,21L,1200W,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-B,SAM-21L-Microwave Oven, Samsung Curd Making Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,CE76JD-B1,14590,,,Black,Membrane,,Convection,21L,1200W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/ce76jd-b1-xtl/gallery/in-ce76jd-b1-convection-microwave--21-l-ce76jd-b1-xtl-532583488?$684_547_PNG$,,,,,,,,,,,,,,
SAM_MWV_OVEN-B,SAM-21L-Microwave Oven, Samsung Ceramic Enamel Cavity Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,CE73JD1,12990,,,Black,Membrane,,Convection,21L,1200W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/ce73jd1-xtl/gallery/in-ce73jd1-convection-microwave-21l-ce73jd1-xtl-532584033?$684_547_PNG$,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-B,SAM-28L-Microwave Oven, Samsung SlimFry Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC28A5025VS,18990,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-DRpwB,SAM-28L-Microwave Oven, Samsung SlimFry Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC28H5025VR,20990,,,Delight Red pattern with Black,Tact,,Convection,28L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc28h5025vr-tl/gallery/in-28-litre-convection-microwave-oven-mc28h5025vk-274424-mc28h5025vr-tl-530434682?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc28h5025vr-tl/gallery/in-28-litre-convection-microwave-oven-mc28h5025vk-274424-mc28h5025vr-tl-thumb-530434677?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-B,SAM-28L-Microwave Oven, Samsung HotBlast Convection Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MC28A6035QS,21500,,,Black,Tact & Dial,,Convection,28L,1400W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a6035qs-tl/gallery/in-mc28a6035-convection-microwave--28-l-mc28a6035qs-tl-532575941?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/mc28a6035qs-tl/gallery/in-mc28a6035-convection-microwave--28-l-mc28a6035qs-tl-thumb-532575935?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
