Column 1,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Storage,Attribute_RAM,Filter_OS,Filter_Screen_Size_inch,Filter_Display_Type,Filter included softwear,Filter_Processor,Filter_Battery_mAh,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM_Book4 Edge-512GB-SB,SAM-Book4 Edge,Samsung Galaxy Book 4 Edge,Samsung,Laptop,Laptop & Computers,NP750XQB-KA1,64990,,,Sapphire Blue,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office Home and Student 2021,Snapdragon X/ X1-26-100,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/GB4_Edge_Carousel_Product-KV_MS_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/GB4_Edge_Carousel_Product-KV_15_1_pc_1.jpg?imbypass=true,,,,,,,,,,,,,
SAM_Book4-512GB-G,SAM-Book4,Samsung Galaxy Book4 ,Samsung,Laptop,Laptop & Computers,NP750XGK-LG2,63000,,,Gray,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,intel i5 13th Gen 120U,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgk-lg2in/gallery/in-galaxy-book-np750xgk-lg2in-front-gray-541804319?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgk-lg2in/gallery/in-galaxy-book-np750xgk-lg2in-top-gray-541804331?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/computers/galaxy-book4/buy/720X720_GB4-1-1.jpg?imwidth=480,,,,,,,,,,,,
SAM_Book4-512GB-S,SAM-Book4,Samsung Galaxy Book4 ,Samsung,Laptop,Laptop & Computers,NP750XGK-LS2,63000,,,Silver,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,intel i5 13th Gen 120U,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgk-ls2in/gallery/in-galaxy-book-np750xgk-ls2in-front-silver-541804962?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgk-ls2in/gallery/in-galaxy-book-np750xgk-ls2in-top-silver-541804968?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/computers/galaxy-book4/buy/720X720_GB4-7.jpg?imwidth=480,,,,,,,,,,,,
SAM_Book4-512GB-G,SAM-Book4,Samsung Galaxy Book4 ,Samsung,Laptop,Laptop & Computers,NP750XGK-LG3,73000,,,Gray,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,intel i7 13th Gen 150U,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgk-lg2in/gallery/in-galaxy-book-np750xgk-lg2in-front-gray-541804319?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgk-lg2in/gallery/in-galaxy-book-np750xgk-lg2in-top-gray-541804331?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/computers/galaxy-book4/buy/720X720_GB4-1-1.jpg?imwidth=481,,,,,,,,,,,,
SAM_Book4-512GB-S,SAM-Book4,Samsung Galaxy Book4 ,Samsung,Laptop,Laptop & Computers,NP750XGK-LS3,73000,,,Silver,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,intel i7 13th Gen 150,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgk-ls2in/gallery/in-galaxy-book-np750xgk-ls2in-front-silver-541804962?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgk-ls2in/gallery/in-galaxy-book-np750xgk-ls2in-top-silver-541804968?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/computers/galaxy-book4/buy/720X720_GB4-7.jpg?imwidth=481,,,,,,,,,,,,
SAM_Book4-512GB-G,SAM-Book4,Samsung Galaxy Book4 ,Samsung,Laptop,Laptop & Computers,NP750XGJ-LG2,68990,,,Gray,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,intel i5 13th Gen 1335U,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgj-lg2in/gallery/in-galaxy-book-np750xgj-lg2in-front-gray-541806384?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgj-lg2in/gallery/in-galaxy-book-np750xgj-lg2in-top-gray-541806396?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
SAM_Book4-512GB-G,SAM-Book4,Samsung Galaxy Book4 ,Samsung,Laptop,Laptop & Computers,NP750XGJ-LG3,78990,,,Gray,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,intel i7 13th Gen 1335U,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgj-lg2in/gallery/in-galaxy-book-np750xgj-lg2in-front-gray-541806384?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgj-lg2in/gallery/in-galaxy-book-np750xgj-lg2in-top-gray-541806396?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
SAM_Book4 360-512GB-G,SAM-Book4 360,Samsung Galaxy Book4 360,Samsung,Laptop,Laptop & Computers,NP750QGK-LG1,114990,,,Gray,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office Home and Student 2021,intel i5 13th Gen 120U Irix Xe,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgj-lg2in/gallery/in-galaxy-book-np750xgj-lg2in-front-gray-541806384?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgj-lg2in/gallery/in-galaxy-book-np750xgj-lg2in-top-gray-541806396?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
SAM_Book4 360-512GB-G,SAM-Book4 360,Samsung Galaxy Book4 360,Samsung,Laptop,Laptop & Computers,NP750QGK-LG2,122990,,,Gray,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office Home and Student 2021,intel i7 13th Gen 120U Irix Xe,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgj-lg2in/gallery/in-galaxy-book-np750xgj-lg2in-front-gray-541806384?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750xgj-lg2in/gallery/in-galaxy-book-np750xgj-lg2in-top-gray-541806396?$LazyLoad_Home_JPG$,https://images.samsung.com/is/image/samsung/assets/in/computers/galaxy-book4/buy/GB4_360-1440x920-3.png?imbypass=true,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
