SKU,Parent_SKU,Parent_SKU Name,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Purchase Price,Profit % Multiplier,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Storage,Attribute_RAM,Filter_OS,Filter_Screen_Size_inch,Filter_Display_Type,Filter_Processor,Filter_Primary_Camera_MP,Filter_Battery_mAh,Filter_Network_Type,Technical Specification,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM-S25ULT-512-TSB,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 12GB, 512GB)",Samsung,Mobiles,Smartphones,SM-S938BZBC,141999,,,,,Titanium Silverblue,512GB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_silverBlue_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp4,,,,,,,,
SAM-S25ULT-256-TSB,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 12GB, 256GB)",Samsung,Mobiles,Smartphones,SM-S938BZBB,129999,,,,,Titanium Silverblue,256GB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_silverBlue_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp5,,,,,,,,
SAM-S25ULT-1-TSB,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 12GB, 1TB)",Samsung,Mobiles,Smartphones,SM-S938BZBQ,165999,,,,,Titanium Silverblue,1TB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_silverBlue_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp6,,,,,,,,
SAM-S25ULT-512-TGY,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Gray, 12GB, 512GB)",Samsung,Mobiles,Smartphones,SM-S938BZTC,141999,,,,,Titanium Gray,512GB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_gray_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp7,,,,,,,,
SAM-S25ULT-256-TGY,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Gray, 12GB, 256GB)",Samsung,Mobiles,Smartphones,SM-S938BZTB,129999,,,,,Titanium Gray,256GB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_gray_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp8,,,,,,,,
SAM-S25ULT-512-TB,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Black, 12GB, 512GB)",Samsung,Mobiles,Smartphones,SM-S938BZKC,141999,,,,,Titanium Black,512GB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_black_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp9,,,,,,,,
SAM-S25ULT-1-TB,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Black, 12GB, 1TB)",Samsung,Mobiles,Smartphones,SM-S938BZBQ,165999,,,,,Titanium Black,1TB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_black_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp10,,,,,,,,
SAM-S25ULT-256-TB,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Black, 12GB, 256GB)",Samsung,Mobiles,Smartphones,SM-S938BZKB,129999,,,,,Titanium Black,256GB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_black_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp11,,,,,,,,
SAM-S25ULT-512-TWS,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Whiteilver, 12GB, 512GB)",Samsung,Mobiles,Smartphones,SM-S938BZSC,141999,,,,,Titanium Whiteilver,512GB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_whiteSilver_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp12,,,,,,,,
SAM-S25ULT-256-TWS,SAM-S25ULTRA,Samsung Galaxy S25 Ultra,"Samsung Galaxy S25 Ultra 5G (Titanium Whiteilver, 12GB, 256GB)",Samsung,Mobiles,Smartphones,SM-S938BZSB,129999,,,,,Titanium Whiteilver,256GB,12GB,Android 15,,Dynamic AMOLED 2X,Snapdragon 8 Elite,200,5000,5G,,,,,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/product_color_whiteSilver_PC.png?imbypass=true,,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/S25_Titanium_PDP_1600x864.jpg?imbypass=true,https://images.samsung.com/in/smartphones/galaxy-s25-ultra/buy/kv_global_PC_v2.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Provisual_engine_1600x864.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/Performance_1600x864.jpg?imbypass=true,https://images.samsung.com/is/content/samsung/assets/in/smartphones/galaxy-s25-ultra/buy/01_Color_Group_Online-Exclusive-KV_video_PC.mp13,,,,,,,,
